,Brand,no_of_rear_camera,rear_camera_1_pixels,rear_camera_2_pixels,rear_camera_3_pixels,rear_camera_4_pixels,rear_camera_5_pixels,no_of_front_camera,front_camera_1_pixels,front_camera_2_pixels,Release_year,Screen-size,operationg_system,Internal_storage(GB),WiFi,Bluetooth,Battery(mah),RAM,Touchscreen,Form-factor,Processor,GPS,Resolution,Accelerometer,Proximity_sensor,Ambient_light_sensor,Expandable_storage,Rear_flash,Proceesor_make,Height,Breadth,Width,Price_in_India,Weight,Compass/magnetometer,Headphones,Gyroscope,Expandable_storage_type,4G_or_3G,Simtype,GSM/CDMA,Expandable_storage(GB)
0,Vivo,2,12.0,5.0,,,,1,25.0,,2018.0,6.41,Android,64.0,Yes,Yes,3400.0,6144.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,157.91,75.08,7.9,24999.0,156.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
1,Vivo,2,12.0,5.0,,,,1,25.0,,2018.0,6.41,Android,64.0,Yes,Yes,3400.0,6144.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,157.91,75.08,7.9,28990.0,156.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
2,Vivo,2,12.0,5.0,,,,1,25.0,,2018.0,6.41,Android,64.0,Yes,Yes,3400.0,6144.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,157.91,75.08,7.9,27490.0,156.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
3,Realme,3,48.0,8.0,2.0,,,1,16.0,,2021.0,6.5,Android,128.0,Yes,Yes,5000.0,8192.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,MediaTek Dimensity,162.2,75.1,9.1,16990.0,194.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
4,Realme,3,48.0,8.0,2.0,,,1,16.0,,2021.0,6.5,Android,128.0,Yes,Yes,5000.0,8192.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,MediaTek Dimensity,162.2,75.1,9.1,19999.0,194.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
5,Realme,3,48.0,8.0,2.0,,,1,16.0,,2021.0,6.5,Android,128.0,Yes,Yes,5000.0,8192.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,MediaTek Dimensity,162.2,75.1,9.1,16999.0,194.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
6,Realme,3,48.0,8.0,2.0,,,1,16.0,,2021.0,6.5,Android,128.0,Yes,Yes,5000.0,8192.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,MediaTek Dimensity,162.2,75.1,9.1,19999.0,194.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
7,Xiaomi,2,12.0,5.0,,,,1,20.0,,2018.0,5.99,Android,64.0,Yes,Yes,4000.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,158.6,75.4,8.05,11990.0,181.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,128.0
8,Xiaomi,2,12.0,5.0,,,,1,20.0,,2018.0,5.99,Android,64.0,Yes,Yes,4000.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,158.6,75.4,8.05,13999.0,181.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,128.0
9,Xiaomi,2,12.0,5.0,,,,1,20.0,,2018.0,5.99,Android,64.0,Yes,Yes,4000.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,158.6,75.4,8.05,10999.0,181.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,128.0
10,Xiaomi,2,12.0,5.0,,,,1,20.0,,2018.0,5.99,Android,64.0,Yes,Yes,4000.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,158.6,75.4,8.05,13499.0,181.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,128.0
11,Xiaomi,2,12.0,5.0,,,,1,20.0,,2018.0,5.99,Android,64.0,Yes,Yes,4000.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,158.6,75.4,8.05,13990.0,181.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,128.0
12,Xiaomi,2,12.0,5.0,,,,1,20.0,,2018.0,5.99,Android,64.0,Yes,Yes,4000.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,158.6,75.4,8.05,13999.0,181.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,128.0
13,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.84,Android,32.0,Yes,Yes,4000.0,3072.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,149.33,71.68,8.75,10725.0,178.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
14,Xiaomi,2,12.0,5.0,,,,1,20.0,,2018.0,5.99,Android,64.0,Yes,Yes,4000.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,158.6,75.4,8.05,11339.0,181.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,128.0
15,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.84,Android,32.0,Yes,Yes,4000.0,3072.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,149.33,71.68,8.75,10549.0,178.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
16,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.84,Android,32.0,Yes,Yes,4000.0,3072.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,149.33,71.68,8.75,9490.0,178.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
17,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.84,Android,32.0,Yes,Yes,4000.0,3072.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,149.33,71.68,8.75,8999.0,178.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
